Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Bulgaria;BGR;Área selvática (% del área de tierra);AG.LND.FRST.ZS;30.07321703;30.1166049;30.15999277;30.20338064;30.24676851;30.29015638;30.33354425;30.37693212;30.42031999;30.46370786;30.50709572;30.83431257;31.68566176;32.02721339;32.3630011;32.73195876;33.0682132;33.40760519;33.74090784;34.0899042;34.42336035;34.60022108;34.7770818;34.95394252;35.13080324;35.30766396;35.38135593;35.50110538;35.62085483;35.74060427;35.86035372;35.98010317;36.09985262
Bahrein;BHR;Área selvática (% del área de tierra);AG.LND.FRST.ZS;0.31884058;0.34057971;0.352112676;0.373239437;0.394366197;0.415492958;0.436619718;0.457746479;0.478873239;0.5;0.521126761;0.542253521;0.563380282;0.576388889;0.589041096;0.601351351;0.621621622;0.633333333;0.644736842;0.664473684;0.682414698;0.698826597;0.716883117;0.737662338;0.757457847;0.771208226;0.795892169;0.820512821;0.848329049;0.871794872;0.891719745;0.911392405;0.936708861
Bahamas;BHS;Área selvática (% del área de tierra);AG.LND.FRST.ZS;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494;50.93506494
Bosnia y Herzegovina;BIH;Área selvática (% del área de tierra);AG.LND.FRST.ZS;;;42.77988281;42.58779297;42.39570313;42.20361328;42.01152344;41.81943359;41.62734375;41.43525391;41.24316406;41.22560547;41.20804688;41.19048828;41.17292969;41.15537109;41.1378125;41.12025391;41.10269531;41.08513672;41.06757813;41.29351563;41.51945313;41.74539063;41.97132813;42.19726563;42.50996094;42.73261719;42.73261719;42.73261719;42.73261719;42.73261719;42.73261719
Belarús;BLR;Área selvática (% del área de tierra);AG.LND.FRST.ZS;;;38.82460774;39.07448298;39.32018257;39.56513595;39.81089848;40.05373296;40.30192921;40.54379175;40.78423253;40.9610341;41.14007366;41.3166951;41.49495846;41.66728294;41.82864803;42.00521437;42.18095435;42.3577364;42.53284837;42.53462126;42.54037723;42.54194019;42.53176531;42.53416626;42.90696987;42.97840266;43.05153217;43.12615476;43.19440339;43.27223454;43.33513966
Belice;BLZ;Área selvática (% del área de tierra);AG.LND.FRST.ZS;70.1459886;69.52902236;68.91205612;68.29508987;67.67812363;67.06115739;66.44419114;65.8272249;65.21025866;64.59329242;63.97632617;63.67860587;63.38088558;63.08316528;62.78544498;62.48772468;62.19000438;61.89228409;61.59456379;61.29684349;60.99912319;60.48566418;59.97220517;59.45874616;58.94528715;58.43182815;57.94300745;57.45374836;56.96492766;56.47566857;55.98640947;55.49715037;55.00789128
Bermudas;BMU;Área selvática (% del área de tierra);AG.LND.FRST.ZS;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852;18.51851852
Bolivia;BOL;Área selvática (% del área de tierra);AG.LND.FRST.ZS;53.35984492;53.11029909;52.86075325;52.61120742;52.36166159;52.11211576;51.86256993;51.61302409;51.36347826;51.11393243;50.8643866;50.6783458;50.49230499;50.30626419;50.12022339;49.93418259;49.74814179;49.56210099;49.37606019;49.19001939;49.00397858;48.80850365;48.61302871;48.41755377;48.22207883;48.0266039;47.77132835;47.53274255;47.31213884;47.10953568;46.92491461;46.72830546;46.53968836
Brasil;BRA;Área selvática (% del área de tierra);AG.LND.FRST.ZS;70.45802056;70.00565437;69.55328817;69.10092198;68.64855578;68.19618958;67.74382339;67.29145719;66.83909099;66.3867248;65.9343586;65.4616709;64.98898319;64.51629549;64.04360779;63.57092009;63.09823238;62.62554468;62.15285698;61.68016927;61.20748157;61.02332816;60.83917474;60.65502133;60.47086792;60.28671451;60.07103255;59.83288148;59.70842795;59.55852618;59.41747805;59.2705275;59.12751189
Barbados;BRB;Área selvática (% del área de tierra);AG.LND.FRST.ZS;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279;14.65116279
